"filename", "language", "TypeScript", "HTML", "JSON", "JSON with Comments", "Markdown", "YAML", "JavaScript", "comment", "blank", "total"
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/.github/workflows/test.yml", "YAML", 0, 0, 0, 0, 0, -18, 0, -2, -3, -23
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/.prettierrc", "JSON", 0, 0, -9, 0, 0, 0, 0, 0, 0, -9
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/README.md", "Markdown", 0, 0, 0, 0, -2, 0, 0, 0, -2, -4
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/auto-imports.d.ts", "TypeScript", -4, 0, 0, 0, 0, 0, 0, -2, -2, -8
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/package-lock.json", "JSON", 0, 0, -6746, 0, 0, 0, 0, 0, -1, -6747
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/package.json", "JSON", 0, 0, -43, 0, 0, 0, 0, 0, -1, -44
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/privacypolicy.html", "HTML", 0, -1, 0, 0, 0, 0, 0, 0, 0, -1
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/public/manifest.json", "JSON", 0, 0, -61, 0, 0, 0, 0, -2, -1, -64
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/svelte.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, -4, -2, -2, -8
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/termsofuse.html", "HTML", 0, -1, 0, 0, 0, 0, 0, 0, 0, -1
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/tsconfig.json", "JSON with Comments", 0, 0, 0, -19, 0, 0, 0, -6, -1, -26
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/tsconfig.node.json", "JSON", 0, 0, -8, 0, 0, 0, 0, -1, -1, -10
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/vite.config.ts", "TypeScript", -43, 0, 0, 0, 0, 0, 0, -1, -4, -48
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/vscode/.favorites.json", "JSON", 0, 0, -11, 0, 0, 0, 0, 0, -1, -12
"Total", "-", -47, -2, -6878, -19, -2, -18, -4, -16, -19, -7005